0:tensor(136356.1094, device='cuda:0', grad_fn=<AddBackward0>)
1:tensor(128337.5547, device='cuda:0', grad_fn=<AddBackward0>)
2:tensor(123296.9297, device='cuda:0', grad_fn=<AddBackward0>)
3:tensor(119178.0469, device='cuda:0', grad_fn=<AddBackward0>)
4:tensor(115738.8906, device='cuda:0', grad_fn=<AddBackward0>)
5:tensor(112853.4219, device='cuda:0', grad_fn=<AddBackward0>)
6:tensor(110093.8359, device='cuda:0', grad_fn=<AddBackward0>)
7:tensor(107665.0938, device='cuda:0', grad_fn=<AddBackward0>)
8:tensor(105229.1719, device='cuda:0', grad_fn=<AddBackward0>)
9:tensor(102992.4609, device='cuda:0', grad_fn=<AddBackward0>)
10:tensor(100717.7578, device='cuda:0', grad_fn=<AddBackward0>)
11:tensor(98591.4609, device='cuda:0', grad_fn=<AddBackward0>)
12:tensor(96440.9766, device='cuda:0', grad_fn=<AddBackward0>)
13:tensor(94455.4609, device='cuda:0', grad_fn=<AddBackward0>)
14:tensor(92767.2109, device='cuda:0', grad_fn=<AddBackward0>)
15:tensor(90828.1875, device='cuda:0', grad_fn=<AddBackward0>)
16:tensor(88902.8750, device='cuda:0', grad_fn=<AddBackward0>)
17:tensor(87041.4375, device='cuda:0', grad_fn=<AddBackward0>)
18:tensor(85074.9844, device='cuda:0', grad_fn=<AddBackward0>)
19:tensor(83595.3594, device='cuda:0', grad_fn=<AddBackward0>)
20:tensor(81828.8594, device='cuda:0', grad_fn=<AddBackward0>)
21:tensor(79894.7734, device='cuda:0', grad_fn=<AddBackward0>)
22:tensor(78397.1797, device='cuda:0', grad_fn=<AddBackward0>)
23:tensor(76821.4922, device='cuda:0', grad_fn=<AddBackward0>)
24:tensor(75302.5703, device='cuda:0', grad_fn=<AddBackward0>)
25:tensor(73906.5547, device='cuda:0', grad_fn=<AddBackward0>)
26:tensor(72311.6797, device='cuda:0', grad_fn=<AddBackward0>)
27:tensor(70880.3672, device='cuda:0', grad_fn=<AddBackward0>)
28:tensor(69372.4297, device='cuda:0', grad_fn=<AddBackward0>)
29:tensor(68314.8281, device='cuda:0', grad_fn=<AddBackward0>)
30:tensor(66986.3672, device='cuda:0', grad_fn=<AddBackward0>)
31:tensor(65964.5547, device='cuda:0', grad_fn=<AddBackward0>)
32:tensor(64373.0781, device='cuda:0', grad_fn=<AddBackward0>)
33:tensor(63519.9727, device='cuda:0', grad_fn=<AddBackward0>)
34:tensor(62189.4805, device='cuda:0', grad_fn=<AddBackward0>)
35:tensor(61365.2109, device='cuda:0', grad_fn=<AddBackward0>)
36:tensor(60277.7422, device='cuda:0', grad_fn=<AddBackward0>)
37:tensor(59385.9766, device='cuda:0', grad_fn=<AddBackward0>)
38:tensor(58239.2656, device='cuda:0', grad_fn=<AddBackward0>)
39:tensor(57349.0117, device='cuda:0', grad_fn=<AddBackward0>)
40:tensor(56347.7070, device='cuda:0', grad_fn=<AddBackward0>)
41:tensor(55863.8086, device='cuda:0', grad_fn=<AddBackward0>)
42:tensor(54722.1992, device='cuda:0', grad_fn=<AddBackward0>)
43:tensor(54148.4219, device='cuda:0', grad_fn=<AddBackward0>)
44:tensor(53330.0508, device='cuda:0', grad_fn=<AddBackward0>)
45:tensor(52545.5391, device='cuda:0', grad_fn=<AddBackward0>)
46:tensor(51625.5703, device='cuda:0', grad_fn=<AddBackward0>)
47:tensor(51143.1641, device='cuda:0', grad_fn=<AddBackward0>)
